,id_str,created_at,text,entities.hashtags,lang,user.screen_name,user.id_str,user.followers_count,user.friends_count,retweeted_status.id_str,retweeted_status.created_at,retweeted_status.text,retweeted_status.entities.hashtags,retweeted_status.lang,retweeted_status.user.screen_name,retweeted_status.user.id_str,retweeted_status.user.followers_count,retweeted_status.user.friends_count
220,911052843892793344,Fri Sep 22 02:21:39 +0000 2017,"#HerpesHillary #HERPESHILARY 
to fight establishment does not mean to destroy your alliances 
I mean European Union #Brexit","['HerpesHillary', 'HERPESHILARY', 'Brexit']",en,shereen__Nasser,1650912763,2711,346,,,,NO HASHTAGS,,,,,
221,911052849357959169,Fri Sep 22 02:21:40 +0000 2017,The latest Marco Polo 360! https://t.co/utgtI4plld # #referendum,['referendum'],it,digiezone,107519872,3075,4990,,,,NO HASHTAGS,,,,,
222,911052857679515648,Fri Sep 22 02:21:42 +0000 2017,RT @MartinKelman: Whilst the majority of the UK is being duped by the collective madness of #Brexit. We're plotting a course to Europ… ,['Brexit'],en,puncdasttamo191,867166603896606720,20,1,891582795738382336,Sun Jul 30 08:54:37 +0000 2017,Whilst the majority of the UK is being duped by the collective madness of #Brexit. We're plotting a course to Europ… https://t.co/Xlx3FY1DVY,['Brexit'],en,MartinKelman,20610347,219.0,799.0
223,911052861043290113,Fri Sep 22 02:21:43 +0000 2017,"RT @ComendadorMBF: #POLL 🇺🇸💥🇺🇸

Is President Trump doing a good job so far??

Vote below and RETWEET! 

@realDonaldTrump @potus #usa #uk #e…","['POLL', 'usa', 'uk']",en,thewarriorjen,98520352,156,145,910401908917129219,Wed Sep 20 07:15:04 +0000 2017,"#POLL 🇺🇸💥🇺🇸

Is President Trump doing a good job so far??

Vote below and RETWEET! 

@realDonaldTrump @potus #usa #uk #europe #asia #latam","['POLL', 'usa', 'uk', 'europe', 'asia', 'latam']",en,ComendadorMBF,2724621665,3517.0,2293.0
224,911052868282597376,Fri Sep 22 02:21:44 +0000 2017,Know Truth More https://t.co/6oMFGmKsdB #BBC #CNN #Reuters #AP #AFP #ABC #NBC #CBS #NYT #WSJ #EU #Deutschland #France #Italy #Spain #US #UK,"['BBC', 'CNN', 'Reuters', 'AP', 'AFP', 'ABC', 'NBC', 'CBS', 'NYT', 'WSJ', 'EU', 'Deutschland', 'France', 'Italy', 'Spain', 'US', 'UK']",en,Posts_from_Asia,3303099121,2117,1963,,,,NO HASHTAGS,,,,,
225,911052986486534144,Fri Sep 22 02:22:13 +0000 2017,"#HerpesHillary #HERPESHILARY 
creating an enemy #NorthKorea reminds me of bush style 
Weapon of mass destruction… https://t.co/4A9SaJa084","['HerpesHillary', 'HERPESHILARY', 'NorthKorea']",en,shereen__Nasser,1650912763,2711,346,,,,NO HASHTAGS,,,,,
226,911053000386498572,Fri Sep 22 02:22:16 +0000 2017,RT @c5hardtop1999: If we could only go back in time to rectify the damage done. @jongaunt @KTHopkins @Nigel_Farage @TRobinsonNewEra… ,NO HASHTAGS,en,RNRMaryland,3006418240,16763,15251,910739620924727296,Thu Sep 21 05:37:01 +0000 2017,If we could only go back in time to rectify the damage done. @jongaunt @KTHopkins @Nigel_Farage @TRobinsonNewEra… https://t.co/Wf1uoNyjLq,NO HASHTAGS,en,c5hardtop1999,383418826,26108.0,19171.0
227,911053024428281857,Fri Sep 22 02:22:22 +0000 2017,"RT @nickreeves9876: Whatever you think of Tony Blair, he is entirely right that the Tories see #Brexit as an opportunity to create a lo… ",['Brexit'],en,PixiLilienthal,182075974,25,197,910987832830971904,Thu Sep 21 22:03:19 +0000 2017,"Whatever you think of Tony Blair, he is entirely right that the Tories see #Brexit as an opportunity to create a lo… https://t.co/Rqk64GAjTY",['Brexit'],en,nickreeves9876,746371177174679552,14359.0,5273.0
228,911053029734064128,Fri Sep 22 02:22:23 +0000 2017,#Brexit https://t.co/6KOPxRMoZH,['Brexit'],und,TarteAuCitron1,157634695,236,1196,,,,NO HASHTAGS,,,,,
229,911053030480601088,Fri Sep 22 02:22:23 +0000 2017,RT @c5hardtop1999: The #EU responsible for the Muslim Brotherhood invasion of NATO! Someone has to say it. This is Obama's foreign pol… ,['EU'],en,RNRMaryland,3006418240,16763,15251,910737801171304448,Thu Sep 21 05:29:47 +0000 2017,The #EU responsible for the Muslim Brotherhood invasion of NATO! Someone has to say it. This is Obama's foreign pol… https://t.co/KUjW7fkZ30,['EU'],en,c5hardtop1999,383418826,26108.0,19171.0
