id_str,screen_name,english,universal,content,friend,network,sentiment,temporal,user
1965576716,carms_diaz,,0.33,0.25,,0.23,0.23,0.06,0.26,0.19,0.11,
,,,,,,,,,,,,
2446971672,MTrading,,0.53,0.65,,0.71,0.53,0.56,0.38,0.23,0.7,
247168827,FarahJumadi,,0.31,0.16,,0.44,0.23,0.09,0.15,0.13,0.05,
119879395,lebiche,,0.46,0.23,,0.56,0.45,0.32,0.59,0.82,0.35,
4041329212,TD28771438,0.35,0.22,0.42,0.32,0.34,0.26,0.12,0.24
102678002,Mccrimmons,0.37,0.31,0.37,0.31,0.28,0.37,0.28,0.28
962305009,tanit,0.36,0.28,0.485,0.33,0.31,0.11,0.39,0.2
1315322977,theneilthatruns,0.11,0.09,0.2,0.24,0.11,0.18,0.14,0.04
504993899,BethSnidget,0.34,0.39,0.38,0.23,0.28,0.35,0.68,0.22
1246578733,airaHLK,0.13,0.1,0.13,0.09,0.21,0.15,0.15,0.07
3390959680,BKBAccountants,0.41,0.28,0.57,0.5,0.35,0.48,0.34,0.21
92805937,xbatasi,0.28,0.26,0.43,0.31,0.27,0.2,0.17,0.1
1451620352,FX_Anil,0.58,0.43,0.77,0.48,0.63,0.56,0.87,0.3
41357665,andreas_zimnas,0.42,0.36,0.5,0.52,0.34,0.65,0.61,0.41
145385799,in_the_gaslight,,0.37,0.16,,0.42,0.09,0.24,0.33,0.16,0.12,
159465681,SandroXeon,,0.26,0.1,,0.38,0.17,0.1,0.1,0.38,0.03,
58051645,FloresRico,,0.37,0.21,,0.524,0.19,0.24,0.22,0.13,0.68,
1660601785,FairishGodmum,,0.42,0.35,,0.45,0.34,0.32,0.41,0.4,0.29,
,,,,,,,,,,,,
130597295,pmasca,0.2,0.16,0.34,0.33,0.17,0.4,0.18,0.17
2191092157,hsudavidt,0.31,0.33,0.36,0.31,0.27,0.41,0.17,0.58
348339045,JohnStroud2,0.27,0.32,0.28,0.24,0.1,0.29,0.41,0.21
22488974,TheSquidge,0.27,0.14,0.31,0.36,0.22,0.34,0.28,0.15
3619080137,Truce_JTTM,0.68,0.61,0.73,0.24,0.6625,0.7,0.72,0.61
,,,,,,,,,,,,
,239001889,NikiMcWilliams,,0.23,0.21,,0.22,0.2,0.16,0.37,0.22,0.03
,372280539,LabourSaleMoor,,0.36,0.36,,0.41,0.3,0.3,0.35,0.17,0.28
,1536659120,RitujaRao,,0.27,0.2,,0.35,0.39,0.36,0.27,0.31,0.08
,1124948851,MarsdenPa,,0.32,0.25,,0.38,0.37,0.28,0.25,0.24,0.11
890244954,Dan_Fletcher10,0.34,0.39,0.43,0.26,0.37,0.29,0.13,0.36
2665272079,GuyHardingOC,0.29,0.22,0.46,0.2,0.14,0.19,0.08,0.12
612063807,heymmad,0.31,0.29,0.32,0.26,0.44,0.22,0.58,0.2
131232001,alderleymel,0.32,0.23,0.42,0.24,0.22,0.21,0.39,0.04
27493324,clarahjorth,0.27,0.17,0.27,0.18,0.1,0.26,0.06,0.15
15427201,gilroyneil,,0.17,0.09,,0.33,0.15,0.03,0.42,0.13,0.12,
49257069,GeorgeCredland,,0.25,0.3,,0.42,0.34,0.21,0.22,0.02,0.15,
1285909068,IndigndeVerdad,,0.54,0.64,,0.46,0.6,0.37,0.15,0.61,0.47,
,,,,,,,,,,,,
573827534,steveopoker,,0.28,0.23,,0.34,0.4,0.16,0.54,0.12,0.06,
1968589500,PillboBaggins2,0.36,0.24,0.37,0.25,0.22,0.4,0.32,0.24
562236448,ecmagenda,0.24,0.26,0.28,0.19,0.15,0.21,0.09,0.04
1261691720,JMRProvLg,0.48,0.37,0.63,0.58,0.33,0.64,0.61,0.44
296972995,phantom1877,0.27,0.22,0.55,0.29,0.2,0.49,0.33,0.41
362741209,BarelyFunction,0.24,0.15,0.24,0.26,0.07,0.38,0.24,0.03
609845680,Josgillet,0.24,0.06,0.49,0.13,0.21,0.18,0.06,0.03
197854405,OL_Bournemouth,0.67,0.6,0.59,0.66,0.86,0.6,0.52,0.49
488460665,pinkepank,0.34,0.33,0.45,0.35,0.29,0.13,0.16,0.01
2198195308,alanesmart1,0.36,0.28,0.47,0.36,0.33,0.24,0.38,0.21
446371699,vitpz,0.32,0.14,0.424,0.16,0.34,0.13,0.43,0.12
392899058,JGILLS14,,0.41,0.24,,0.55,0.27,0.29,0.55,0.2,0.12,
710554361387159556,politicalpob,,0.31,0.29,,0.49,0.25,0.42,0.26,0.38,0.22,
,,,,,,,,,,,,
302759199,ruraloutback,,0.24,0.09,,0.43,0.21,0.25,0.28,0.27,0.05,
75521916,joly2u,,0.4,0.38,,0.47,0.19,0.09,0.34,0.44,0.38,
529286343,bigknightywhu,0.38,0.2,0.63,0.16,0.21,0.42,0.13,0.06
153126487,SmugHumanBeing,0.36,0.21,0.5,0.44,0.31,0.41,0.51,0.47
101251319,aalkonsum,0.29,0.4,0.42,0.33,0.26,0.19,0.28,0.11
20583043,domwakeford,0.19,0.2,0.2,0.12,0.11,0.15,0.09,0.19
15822469,robertkpl,0.33,0.4,0.48,0.7931471336512232,0.802706715068203,0.58,0.82,0.44
515667925,LindemannUlrika,,0.29,0.28,,0.42,0.27,0.26,0.14,0.2,0.12,
192019712,RNicho71,,0.34,0.26,,0.34,0.23,0.24,0.43,0.23,0.27,
4756409608,modsitallabout,,0.16,0.12,,0.42,0.19,0.1,0.33,0.15,0.23,
1963314679,Mercia123St,,0.31,0.16,,0.3,0.21,0.13,0.26,0.23,0.28,
,,,,,,,,,,,,
,,,,,,,,,,,,
,216097960,JosepLagares,,0.33,0.26,,0.4,0.21,0.29,0.29,0.2,0.31
,142800676,carbonfixated,,0.32,0.19,,0.28,0.12,0.35,0.29,0.16,0.2
,4849395928,SofiaGanter,,0.47,0.3,,0.51,0.3,0.14,0.25,0.12,0.21
,1056267566,terraceblue1886,,0.36,0.31,,0.5,0.3,0.26,0.27,0.26,0.22
32889995,simorimo75,,0.19,0.15,,0.56,0.18,0.44,0.11,0.3,0.19,
501622634,giokym,,0.39,0.4,,0.48,0.44,0.38,0.42,0.28,0.13,
,,,,,,,,,,,,
174355736,curlyrocma,,0.2,0.12,,0.17,0.18,0.05,0.11,0.11,0.03,
819695353,MarkyGCCFC,,0.3,0.3,,0.41,0.22,0.23,0.2,0.39,0.17,
1283793956,Anthea_Bitcon,0.37,0.32,0.47,0.51,0.27,0.38,0.12,0.08
822362102,johnmacleod19,0.43,0.38,0.4,0.19,0.19,0.24,0.45,0.7
